radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,214,1,111,71734787,0,-3.6769866943359,40.437240600586,1000,1,1,1458931131,1441279546,0
LTE,214,1,111,71811588,0,-3.6783599853516,40.439987182617,1000,1,1,1458931131,1441279546,0
LTE,214,1,111,71835393,0,-3.6591339111328,40.441360473633,1000,1,1,1458931131,1439772255,0
LTE,214,1,111,71835395,0,-3.6632537841797,40.438613891602,1000,1,1,1458931131,1441276247,0
LTE,214,1,111,71886594,0,-3.6811065673828,40.422134399414,1000,1,1,1458931131,1439772257,0
LTE,214,1,111,71912961,0,-3.6948394775391,40.438613891602,1000,1,1,1458931131,1441100500,0
LTE,214,1,111,72039426,0,-3.6907196044922,40.437240600586,1000,1,1,1458931131,1441100500,0
LTE,214,1,111,72039428,0,-3.6907196044922,40.439987182617,1000,1,1,1458931131,1441376573,0
LTE,214,1,111,72039429,0,-3.6907196044922,40.437240600586,1000,1,1,1458931131,1441073490,0
LTE,214,1,111,72039430,0,-3.6920928955078,40.438613891602,1000,1,1,1458931131,1441280979,0
LTE,214,1,111,72144642,0,-3.6028289794922,40.448226928711,1000,1,1,1458931131,1441279844,0
LTE,214,1,111,72144643,0,-3.6591339111328,40.42350769043,1000,1,1,1458931131,1441279844,0
LTE,214,1,111,72144645,0,-3.6591339111328,40.420761108398,1000,1,1,1458931131,1441279844,0
LTE,214,1,111,72144646,0,-3.6591339111328,40.420761108398,1000,1,1,1458931131,1441279844,0
LTE,214,1,111,72218113,0,-3.6920928955078,40.438613891602,1000,1,1,1458931131,1441100500,0
LTE,214,1,111,72218114,0,-3.6865997314453,40.437240600586,1000,1,1,1458931131,1441073490,0
LTE,214,1,111,72269570,0,-3.6605072021484,40.419387817383,1000,1,1,1458931131,1441100496,0
LTE,214,1,111,72269571,0,-3.6660003662109,40.420761108398,1000,1,1,1458931131,1440594753,0
LTE,214,1,111,72323333,0,-3.6385345458984,40.429000854492,1000,1,1,1458931131,1441122526,0
LTE,214,1,111,72399105,0,-3.6948394775391,40.433120727539,1000,1,1,1458931131,1441250206,0
LTE,214,1,111,72399109,0,-3.6824798583984,40.433120727539,1000,1,1,1458931131,1439982633,0
